"Age"	"Player"	"DATE"	"Event"	"Winner"
25.8821917808219	"Pete Sampras"	1997-06-23	"Wimbledon"	"Winner"
24.6739726027397	"Patrick Rafter"	1997-08-25	"US Open"	"Winner"
30.0109589041096	"Petr Korda"	1998-01-19	"Australian Open"	"Winner"
21.7561643835616	"Carlos Moya"	1998-05-25	"French Open"	"Winner"
26.8794520547945	"Pete Sampras"	1998-06-22	"Wimbledon"	"Winner"
24.9315068493151	"Yevgeny Kafelnikov"	1999-01-18	"Australian Open"	"Winner"
25.6904109589041	"Patrick Rafter"	1998-08-31	"US Open"	"Winner"
27.8767123287671	"Pete Sampras"	1999-06-21	"Wimbledon"	"Winner"
29.0876712328767	"Andre Agassi"	1999-05-24	"French Open"	"Winner"
29.3561643835616	"Andre Agassi"	1999-08-30	"US Open"	"Winner"
29.7397260273973	"Andre Agassi"	2000-01-17	"Australian Open"	"Winner"
23.7315068493151	"Gustavo Kuerten"	2000-05-29	"French Open"	"Winner"
20.6	"Marat Safin"	2000-08-28	"US Open"	"Winner"
28.8931506849315	"Pete Sampras"	2000-06-26	"Wimbledon"	"Winner"
30.7369863013699	"Andre Agassi"	2001-01-15	"Australian Open"	"Winner"
24.7287671232877	"Gustavo Kuerten"	2001-05-28	"French Open"	"Winner"
29.8027397260274	"Goran Ivanisevic"	2001-06-25	"Wimbledon"	"Winner"
20.5178082191781	"Lleyton Hewitt"	2001-08-27	"US Open"	"Winner"
26.8301369863014	"Thomas Johansson"	2002-01-14	"Australian Open"	"Winner"
26.9397260273973	"Albert Costa"	2002-05-27	"French Open"	"Winner"
21.3424657534247	"Lleyton Hewitt"	2002-06-24	"Wimbledon"	"Winner"
22.2849315068493	"Yevgeny Kafelnikov"	1996-05-27	"French Open"	"Winner"
24.5671232876712	"Richard Krajicek"	1996-06-24	"Wimbledon"	"Winner"
28.1671232876712	"Boris Becker"	1996-01-15	"Australian Open"	"Winner"
25.0575342465753	"Pete Sampras"	1996-08-26	"US Open"	"Winner"
24.7342465753425	"Andre Agassi"	1995-01-16	"Australian Open"	"Winner"
27.6739726027397	"Thomas Muster"	1995-05-29	"French Open"	"Winner"
23.8876712328767	"Pete Sampras"	1995-06-26	"Wimbledon"	"Winner"
22.4493150684931	"Pete Sampras"	1994-01-17	"Australian Open"	"Winner"
24.0602739726027	"Pete Sampras"	1995-08-28	"US Open"	"Winner"
23.3643835616438	"Sergio Bruguera"	1994-05-23	"French Open"	"Winner"
22.8712328767123	"Pete Sampras"	1994-06-20	"Wimbledon"	"Winner"
24.3506849315068	"Andre Agassi"	1994-08-29	"US Open"	"Winner"
22.4383561643836	"Jim Courier"	1993-01-18	"Australian Open"	"Winner"
22.3671232876712	"Sergio Bruguera"	1993-05-24	"French Open"	"Winner"
21.8739726027397	"Pete Sampras"	1993-06-21	"Wimbledon"	"Winner"
22.0657534246575	"Pete Sampras"	1993-08-30	"US Open"	"Winner"
21.4219178082192	"Jim Courier"	1992-01-13	"Australian Open"	"Winner"
21.786301369863	"Jim Courier"	1992-05-25	"French Open"	"Winner"
22.1643835616438	"Andre Agassi"	1992-06-22	"Wimbledon"	"Winner"
26.6328767123288	"Stefan Edberg"	1992-08-31	"US Open"	"Winner"
23.1616438356164	"Boris Becker"	1991-01-14	"Australian Open"	"Winner"
20.7890410958904	"Jim Courier"	1991-05-27	"French Open"	"Winner"
22.6958904109589	"Michael Stich"	1991-06-24	"Wimbledon"	"Winner"
25.6164383561644	"Stefan Edberg"	1991-08-26	"US Open"	"Winner"
29.8794520547945	"Ivan Lendl"	1990-01-15	"Australian Open"	"Winner"
30.2684931506849	"Andres Gomez"	1990-05-28	"French Open"	"Winner"
24.4465753424658	"Stefan Edberg"	1990-06-25	"Wimbledon"	"Winner"
19.0547945205479	"Pete Sampras"	1990-08-27	"US Open"	"Winner"
32.3835616438356	"Andre Agassi"	2002-09-08	"US Open"	"Finalist"
26.772602739726	"Rainer Schuettler"	2003-01-26	"Australian Open"	"Finalist"
24.6191780821918	"Martin Verkerk"	2003-06-08	"French Open"	"Finalist"
26.6767123287671	"Mark Philippoussis"	2003-07-06	"Wimbledon"	"Finalist"
23.5835616438356	"Juan Carlos Ferrero"	2003-09-07	"US Open"	"Finalist"
24.0301369863014	"Marat Safin"	2004-02-01	"Australian Open"	"Finalist"
22.4109589041096	"Guillermo Coria"	2004-06-06	"French Open"	"Finalist"
21.8602739726027	"Andy Roddick"	2004-07-04	"Wimbledon"	"Finalist"
23.5643835616438	"Lleyton Hewitt"	2004-09-12	"US Open"	"Finalist"
23.9479452054795	"Lleyton Hewitt"	2005-01-30	"Australian Open"	"Finalist"
26.7287671232877	"Mariano Puerta"	2005-06-05	"French Open"	"Finalist"
22.8575342465753	"Andy Roddick"	2005-07-03	"Wimbledon"	"Finalist"
35.3945205479452	"Andre Agassi"	2005-09-11	"US Open"	"Finalist"
20.6328767123288	"Marcos Baghdatis"	2006-01-29	"Australian Open"	"Finalist"
24.8575342465753	"Roger Federer"	2006-06-11	"French Open"	"Finalist"
20.1123287671233	"Rafael Nadal"	2006-07-09	"Wimbledon"	"Finalist"
24.0465753424658	"Andy Roddick"	2006-09-10	"US Open"	"Finalist"
26.5178082191781	"Fernando Gonzalez"	2007-01-28	"Australian Open"	"Finalist"
25.8547945205479	"Roger Federer"	2007-06-10	"French Open"	"Finalist"
21.1095890410959	"Rafael Nadal"	2007-07-08	"Wimbledon"	"Finalist"
20.3150684931507	"Novak Djokovic"	2007-09-09	"US Open"	"Finalist"
22.7945205479452	"Jo-Wilfried Tsonga"	2008-01-27	"Australian Open"	"Finalist"
26.8520547945205	"Roger Federer"	2008-06-08	"French Open"	"Finalist"
26.9287671232877	"Roger Federer"	2008-07-06	"Wimbledon"	"Finalist"
21.3342465753425	"Andy Murray"	2008-09-08	"US Open"	"Finalist"
27.5041095890411	"Roger Federer"	2009-02-01	"Australian Open"	"Finalist"
24.8301369863014	"Robin Soderling"	2009-06-07	"French Open"	"Finalist"
26.8657534246575	"Andy Roddick"	2009-07-05	"Wimbledon"	"Finalist"
