"x","y","p","px","py"
-8.615,6.4,0,0,0
-8.4409595959596,6.4,0,8.0808080808081,0
-8.26691919191919,6.4,0,16.1616161616162,0
-8.09287878787879,6.4,0,24.2424242424242,0
-7.91883838383838,6.4,0,32.3232323232323,0
-7.74479797979798,6.4,0,40.4040404040404,0
-7.57075757575758,6.4,0,48.4848484848485,0
-7.39671717171717,6.4,0,56.5656565656566,0
-7.22267676767677,6.4,0,64.6464646464646,0
-7.04863636363636,6.4,0,72.7272727272727,0
-6.87459595959596,6.4,0,80.8080808080808,0
-6.70055555555556,6.4,0,88.8888888888889,0
-6.52651515151515,6.4,0,96.969696969697,0
-6.35247474747475,6.4,0,105.050505050505,0
-6.17843434343434,6.4,0,113.131313131313,0
-6.00439393939394,6.4,0,121.212121212121,0
-5.83035353535354,6.4,0,129.292929292929,0
-5.65631313131313,6.4,0,137.373737373737,0
-5.48227272727273,6.4,0,145.454545454545,0
-5.30823232323232,6.4,0,153.535353535354,0
-5.13419191919192,6.4,0,161.616161616162,0
-4.96015151515151,6.4,0,169.69696969697,0
-4.78611111111111,6.4,0,177.777777777778,0
-4.61207070707071,6.4,0,185.858585858586,0
-4.4380303030303,6.4,0,193.939393939394,0
-4.2639898989899,6.4,0,202.020202020202,0
-4.08994949494949,6.4,4.80780486728332e-314,210.10101010101,0
-3.91590909090909,6.4,1.49764002796058e-300,218.181818181818,0
-3.74186868686869,6.4,2.26003185821857e-287,226.262626262626,0
-3.56782828282828,6.4,1.65222087594597e-274,234.343434343434,0
-3.39378787878788,6.4,5.85151140373626e-262,242.424242424242,0
-3.21974747474748,6.4,1.00395550708102e-249,250.50505050505,0
-3.04570707070707,6.4,8.3446371353191e-238,258.585858585859,0
-2.87166666666667,6.4,3.36006138787931e-226,266.666666666667,0
-2.69762626262626,6.4,6.55441587393454e-215,274.747474747475,0
-2.52358585858586,6.4,6.19395642561309e-204,282.828282828283,0
-2.34954545454545,6.4,2.83563359406734e-193,290.909090909091,0
-2.17550505050505,6.4,6.28898357642019e-183,298.989898989899,0
-2.00146464646465,6.4,6.7570931107676e-173,307.070707070707,0
-1.82742424242424,6.4,3.51713744075965e-163,315.151515151515,0
-1.65338383838384,6.4,8.86890282801425e-154,323.232323232323,0
-1.47934343434343,6.4,1.08343531004936e-144,331.313131313131,0
-1.30530303030303,6.4,6.41195363452039e-136,339.393939393939,0
-1.13126262626263,6.4,1.8383756965129e-127,347.474747474748,0
-0.957222222222222,6.4,2.55350927293177e-119,355.555555555556,0
-0.783181818181818,6.4,1.71831719645237e-111,363.636363636364,0
-0.609141414141414,6.4,5.60191196968582e-104,371.717171717172,0
-0.435101010101009,6.4,8.84792976258029e-97,379.79797979798,0
-0.261060606060605,6.4,6.77058567859142e-90,387.878787878788,0
-0.0870202020202022,6.4,2.51014272744883e-83,395.959595959596,0
0.0870202020202022,6.4,4.50888038660605e-77,404.040404040404,0
0.261060606060607,6.4,3.92419204829651e-71,412.121212121212,0
0.435101010101011,6.4,1.65485291628555e-65,420.20202020202,0
0.609141414141414,6.4,3.38155575603063e-60,428.282828282828,0
0.783181818181818,6.4,3.34847544030794e-55,436.363636363636,0
0.957222222222223,6.4,1.60687724985144e-50,444.444444444444,0
1.13126262626263,6.4,3.73733970197056e-46,452.525252525253,0
1.30530303030303,6.4,4.21342679545363e-42,460.606060606061,0
1.47934343434343,6.4,2.30282916038415e-38,468.686868686869,0
1.65338383838384,6.4,6.10262316038113e-35,476.767676767677,0
1.82742424242424,6.4,7.84327207485896e-32,484.848484848485,0
2.00146464646465,6.4,4.89057752872057e-29,492.929292929293,0
2.17550505050505,6.4,1.48111556238757e-26,501.010101010101,0
2.34954545454545,6.4,2.19574652430806e-24,509.090909090909,0
2.52358585858586,6.4,1.78790467894983e-22,517.171717171717,0
2.69762626262626,6.4,3.02174898242821e-20,525.252525252525,0
2.87166666666667,6.4,1.80571964823965e-17,533.333333333333,0
3.04570707070707,6.4,6.81798042364769e-15,541.414141414141,0
3.21974747474748,6.4,1.27024389564936e-12,549.494949494949,0
3.39378787878788,6.4,1.14909576529966e-10,557.575757575758,0
3.56782828282828,6.4,5.03758735988982e-09,565.656565656566,0
3.74186868686869,6.4,1.06993753219136e-07,573.737373737374,0
3.91590909090909,6.4,1.10088898156073e-06,581.818181818182,0
4.0899494949495,6.4,5.4875019867794e-06,589.89898989899,0
4.2639898989899,6.4,1.32510840508308e-05,597.979797979798,0
4.4380303030303,6.4,1.55014955106219e-05,606.060606060606,0
4.61207070707071,6.4,8.78498994819742e-06,614.141414141414,0
4.78611111111111,6.4,2.41188063737043e-06,622.222222222222,0
4.96015151515152,6.4,3.20856360620067e-07,630.30303030303,0
5.13419191919192,6.4,2.09806848380838e-08,638.383838383838,0
5.30823232323232,6.4,1.29750781378826e-09,646.464646464646,0
5.48227272727273,6.4,6.70946917780551e-10,654.545454545455,0
5.65631313131313,6.4,3.2472638134347e-10,662.626262626263,0
5.83035353535354,6.4,7.72264983591883e-11,670.707070707071,0
6.00439393939394,6.4,8.8993176847561e-12,678.787878787879,0
6.17843434343434,6.4,4.96821706663164e-13,686.868686868687,0
6.35247474747475,6.4,1.34373865696901e-14,694.949494949495,0
6.52651515151515,6.4,1.7615430831922e-16,703.030303030303,0
6.70055555555556,6.4,1.13043490126671e-18,711.111111111111,0
6.87459595959596,6.4,4.64536196344387e-21,719.191919191919,0
7.04863636363636,6.4,6.69060338486358e-23,727.272727272727,0
7.22267676767677,6.4,1.56955109470689e-24,735.353535353535,0
7.39671717171717,6.4,1.93033887223014e-26,743.434343434344,0
7.57075757575758,6.4,1.15345207466143e-28,751.515151515152,0
7.74479797979798,6.4,3.33955403868015e-31,759.59595959596,0
7.91883838383839,6.4,4.68417966922766e-34,767.676767676768,0
8.09287878787879,6.4,3.18321911536938e-37,775.757575757576,0
8.26691919191919,6.4,1.05069674071608e-40,783.838383838384,0
8.4409595959596,6.4,1.80068082920052e-44,791.919191919192,0
8.615,6.4,4.06356078519612e-48,800,0
-8.615,6.53626262626263,0,0,6.32676152118984
-8.4409595959596,6.53626262626263,0,8.0808080808081,6.32676152118984
-8.26691919191919,6.53626262626263,0,16.1616161616162,6.32676152118984
-8.09287878787879,6.53626262626263,0,24.2424242424242,6.32676152118984
-7.91883838383838,6.53626262626263,0,32.3232323232323,6.32676152118984
-7.74479797979798,6.53626262626263,0,40.4040404040404,6.32676152118984
-7.57075757575758,6.53626262626263,0,48.4848484848485,6.32676152118984
-7.39671717171717,6.53626262626263,0,56.5656565656566,6.32676152118984
-7.22267676767677,6.53626262626263,0,64.6464646464646,6.32676152118984
-7.04863636363636,6.53626262626263,0,72.7272727272727,6.32676152118984
-6.87459595959596,6.53626262626263,0,80.8080808080808,6.32676152118984
-6.70055555555556,6.53626262626263,0,88.8888888888889,6.32676152118984
-6.52651515151515,6.53626262626263,0,96.969696969697,6.32676152118984
-6.35247474747475,6.53626262626263,0,105.050505050505,6.32676152118984
-6.17843434343434,6.53626262626263,0,113.131313131313,6.32676152118984
-6.00439393939394,6.53626262626263,0,121.212121212121,6.32676152118984
-5.83035353535354,6.53626262626263,0,129.292929292929,6.32676152118984
-5.65631313131313,6.53626262626263,0,137.373737373737,6.32676152118984
-5.48227272727273,6.53626262626263,0,145.454545454545,6.32676152118984
-5.30823232323232,6.53626262626263,0,153.535353535354,6.32676152118984
-5.13419191919192,6.53626262626263,0,161.616161616162,6.32676152118984
-4.96015151515151,6.53626262626263,0,169.69696969697,6.32676152118984
-4.78611111111111,6.53626262626263,0,177.777777777778,6.32676152118984
-4.61207070707071,6.53626262626263,0,185.858585858586,6.32676152118984
-4.4380303030303,6.53626262626263,0,193.939393939394,6.32676152118984
-4.2639898989899,6.53626262626263,0,202.020202020202,6.32676152118984
-4.08994949494949,6.53626262626263,6.68855643190165e-313,210.10101010101,6.32676152118984
-3.91590909090909,6.53626262626263,2.08347974664603e-299,218.181818181818,6.32676152118984
-3.74186868686869,6.53626262626263,3.1440816251115e-286,226.262626262626,6.32676152118984
-3.56782828282828,6.53626262626263,2.29850572023793e-273,234.343434343434,6.32676152118984
-3.39378787878788,6.53626262626263,8.14037451076713e-261,242.424242424242,6.32676152118984
-3.21974747474748,6.53626262626263,1.39665812091012e-248,250.50505050505,6.32676152118984
-3.04570707070707,6.53626262626263,1.16086785749593e-236,258.585858585859,6.32676152118984
-2.87166666666667,6.53626262626263,4.67436410368273e-225,266.666666666667,6.32676152118984
-2.69762626262626,6.53626262626263,9.11821007828617e-214,274.747474747475,6.32676152118984
-2.52358585858586,6.53626262626263,8.61676579285921e-203,282.828282828283,6.32676152118984
-2.34954545454545,6.53626262626263,3.94481897421991e-192,290.909090909091,6.32676152118984
-2.17550505050505,6.53626262626263,8.74900285477038e-182,298.989898989899,6.32676152118984
-2.00146464646465,6.53626262626263,9.40025189467622e-172,307.070707070707,6.32676152118984
-1.82742424242424,6.53626262626263,4.89295076188682e-162,315.151515151515,6.32676152118984
-1.65338383838384,6.53626262626263,1.23382577897537e-152,323.232323232323,6.32676152118984
-1.47934343434343,6.53626262626263,1.50726636020836e-143,331.313131313131,6.32676152118984
-1.30530303030303,6.53626262626263,8.92033706462025e-135,339.393939393939,6.32676152118984
-1.13126262626263,6.53626262626263,2.55758466440753e-126,347.474747474748,6.32676152118984
-0.957222222222222,6.53626262626263,3.55254245456608e-118,355.555555555556,6.32676152118984
-0.783181818181818,6.53626262626263,2.39063238524573e-110,363.636363636364,6.32676152118984
-0.609141414141414,6.53626262626263,7.79390820588163e-103,371.717171717172,6.32676152118984
-0.435101010101009,6.53626262626263,1.23104128195032e-95,379.79797979798,6.32676152118984
-0.261060606060605,6.53626262626263,9.42046046011499e-89,387.878787878788,6.32676152118984
-0.0870202020202022,6.53626262626263,3.492713784748e-82,395.959595959596,6.32676152118984
0.0870202020202022,6.53626262626263,6.27417554535437e-76,404.040404040404,6.32676152118984
0.261060606060607,6.53626262626263,5.46094016400932e-70,412.121212121212,6.32676152118984
