"x","y","p","px","py"
-8.615,6.4,1.80257975841436e-277,0,0
-8.4409595959596,6.4,4.12625880996941e-267,8.0808080808081,0
-8.26691919191919,6.4,5.28889215855301e-257,16.1616161616162,0
-8.09287878787879,6.4,3.7959390584031e-247,24.2424242424242,0
-7.91883838383838,6.4,1.52552743962812e-237,32.3232323232323,0
-7.74479797979798,6.4,3.43294692006271e-228,40.4040404040404,0
-7.57075757575758,6.4,4.3257401321246e-219,48.4848484848485,0
-7.39671717171717,6.4,3.05210897216643e-210,56.5656565656566,0
-7.22267676767677,6.4,1.20582953737888e-201,64.6464646464646,0
-7.04863636363636,6.4,2.66758380904311e-193,72.7272727272727,0
-6.87459595959596,6.4,3.30442957284732e-185,80.8080808080808,0
-6.70055555555556,6.4,2.29203476255324e-177,88.8888888888889,0
-6.52651515151515,6.4,8.90209393443134e-170,96.969696969697,0
-6.35247474747475,6.4,1.9360181195278e-162,105.050505050505,0
-6.17843434343434,6.4,2.35761526698464e-155,113.131313131313,0
-6.00439393939394,6.4,1.6076175005855e-148,121.212121212121,0
-5.83035353535354,6.4,6.13816824799263e-142,129.292929292929,0
-5.65631313131313,6.4,1.31232416780716e-135,137.373737373737,0
-5.48227272727273,6.4,1.57104911114962e-129,145.454545454545,0
-5.30823232323232,6.4,1.05313695141238e-123,153.535353535354,0
-5.13419191919192,6.4,3.95300757309596e-118,161.616161616162,0
-4.96015151515151,6.4,8.30860259741477e-113,169.69696969697,0
-4.78611111111111,6.4,9.78056229465344e-108,177.777777777778,0
-4.61207070707071,6.4,6.45741610417234e-103,185.858585858586,0
-4.4380303030303,6.4,2.41905422930513e-98,193.939393939394,0
-4.2639898989899,6.4,5.62270413013475e-94,202.020202020202,0
-4.08994949494949,6.4,1.27678431198787e-89,210.10101010101,0
-3.91590909090909,6.4,4.54360561092401e-85,218.181818181818,0
-3.74186868686869,6.4,1.48833348837911e-80,226.262626262626,0
-3.56782828282828,6.4,3.15000386536936e-76,234.343434343434,0
-3.39378787878788,6.4,4.04637991755694e-72,242.424242424242,0
-3.21974747474748,6.4,3.09828512278369e-68,250.50505050505,0
-3.04570707070707,6.4,1.39243634212108e-64,258.585858585859,0
-2.87166666666667,6.4,3.62573507797884e-61,266.666666666667,0
-2.69762626262626,6.4,5.42504868545585e-58,274.747474747475,0
-2.52358585858586,6.4,4.65234890938529e-55,282.828282828283,0
-2.34954545454545,6.4,2.29466827180444e-52,290.909090909091,0
-2.17550505050505,6.4,6.57570169764921e-50,298.989898989899,0
-2.00146464646465,6.4,1.11410246967502e-47,307.070707070707,0
-1.82742424242424,6.4,1.15000352834824e-45,315.151515151515,0
-1.65338383838384,6.4,7.89125912552631e-44,323.232323232323,0
-1.47934343434343,6.4,4.89083188725821e-42,331.313131313131,0
-1.30530303030303,6.4,3.79964147222439e-40,339.393939393939,0
-1.13126262626263,6.4,2.64207294164465e-38,347.474747474748,0
-0.957222222222222,6.4,1.15700327255857e-36,355.555555555556,0
-0.783181818181818,6.4,2.89942604444991e-35,363.636363636364,0
-0.609141414141414,6.4,4.08432327313317e-34,371.717171717172,0
-0.435101010101009,6.4,3.22388928818964e-33,379.79797979798,0
-0.261060606060605,6.4,1.4250926645333e-32,387.878787878788,0
-0.0870202020202022,6.4,3.52746850549922e-32,395.959595959596,0
0.0870202020202022,6.4,4.88913617246659e-32,404.040404040404,0
0.261060606060607,6.4,3.79522901330514e-32,412.121212121212,0
0.435101010101011,6.4,1.70632568962024e-32,420.20202020202,0
0.609141414141414,6.4,2.71809186363312e-32,428.282828282828,0
0.783181818181818,6.4,5.24595828302328e-31,436.363636363636,0
0.957222222222223,6.4,6.63871329669006e-30,444.444444444444,0
1.13126262626263,6.4,4.71130905733402e-29,452.525252525253,0
1.30530303030303,6.4,1.8745444093633e-28,460.606060606061,0
1.47934343434343,6.4,4.19052285860015e-28,468.686868686869,0
1.65338383838384,6.4,5.29356878077459e-28,476.767676767677,0
1.82742424242424,6.4,3.83704319793739e-28,484.848484848485,0
2.00146464646465,6.4,1.66048252564537e-28,492.929292929293,0
2.17550505050505,6.4,4.69776325507615e-29,501.010101010101,0
2.34954545454545,6.4,1.00662899542247e-29,509.090909090909,0
2.52358585858586,6.4,1.80298253678928e-30,517.171717171717,0
2.69762626262626,6.4,2.54384843951366e-31,525.252525252525,0
2.87166666666667,6.4,2.48774703940919e-32,533.333333333333,0
3.04570707070707,6.4,1.53168844372912e-33,541.414141414141,0
3.21974747474748,6.4,5.62354322828023e-35,549.494949494949,0
3.39378787878788,6.4,1.20524102797946e-36,557.575757575758,0
3.56782828282828,6.4,1.54292726817344e-38,565.656565656566,0
3.74186868686869,6.4,1.34140019058487e-40,573.737373737374,0
3.91590909090909,6.4,1.02231343114599e-42,581.818181818182,0
4.0899494949495,6.4,7.12355579248743e-45,589.89898989899,0
4.2639898989899,6.4,3.52259072807048e-47,597.979797979798,0
4.4380303030303,6.4,1.04413631593486e-49,606.060606060606,0
4.61207070707071,6.4,1.76113200366132e-52,614.141414141414,0
4.78611111111111,6.4,1.66933237770943e-55,622.222222222222,0
4.96015151515152,6.4,8.86723595435082e-59,630.30303030303,0
5.13419191919192,6.4,2.63789220007734e-62,638.383838383838,0
5.30823232323232,6.4,4.39429425660636e-66,646.464646464646,0
5.48227272727273,6.4,4.0989372272425e-70,654.545454545455,0
5.65631313131313,6.4,2.14092032449947e-74,662.626262626263,0
5.83035353535354,6.4,6.26146849173902e-79,670.707070707071,0
6.00439393939394,6.4,1.02541155536678e-83,678.787878787879,0
6.17843434343434,6.4,9.40300130576649e-89,686.868686868687,0
6.35247474747475,6.4,4.82815340131602e-94,694.949494949495,0
6.52651515151515,6.4,1.38816757817718e-99,703.030303030303,0
6.70055555555556,6.4,2.23485322651552e-105,711.111111111111,0
6.87459595959596,6.4,2.01466289594488e-111,719.191919191919,0
7.04863636363636,6.4,1.01695571806101e-117,727.272727272727,0
7.22267676767677,6.4,2.87440507569349e-124,735.353535353535,0
7.39671717171717,6.4,4.54925440444853e-131,743.434343434344,0
7.57075757575758,6.4,4.03162896435582e-138,751.515151515152,0
7.74479797979798,6.4,2.00092038526966e-145,759.59595959596,0
7.91883838383839,6.4,5.58845611655984e-153,767.676767676768,0
8.09287878787879,6.4,1.02399377931899e-160,775.757575757576,0
8.26691919191919,6.4,5.55954241912409e-168,783.838383838384,0
8.4409595959596,6.4,8.16686154666067e-175,791.919191919192,0
8.615,6.4,7.70210101373945e-182,800,0
-8.615,6.53626262626263,3.58005739428146e-275,0,6.32676152118984
-8.4409595959596,6.53626262626263,8.19505672045512e-265,8.0808080808081,6.32676152118984
-8.26691919191919,6.53626262626263,1.05041329746433e-254,16.1616161616162,6.32676152118984
-8.09287878787879,6.53626262626263,7.53901713965319e-245,24.2424242424242,6.32676152118984
-7.91883838383838,6.53626262626263,3.0298108945948e-235,32.3232323232323,6.32676152118984
-7.74479797979798,6.53626262626263,6.8180877700287e-226,40.4040404040404,6.32676152118984
-7.57075757575758,6.53626262626263,8.59124145462242e-217,48.4848484848485,6.32676152118984
-7.39671717171717,6.53626262626263,6.06171529606484e-208,56.5656565656566,6.32676152118984
-7.22267676767677,6.53626262626263,2.39486709610766e-199,64.6464646464646,6.32676152118984
-7.04863636363636,6.53626262626263,5.29801973857235e-191,72.7272727272727,6.32676152118984
-6.87459595959596,6.53626262626263,6.56284276517151e-183,80.8080808080808,6.32676152118984
-6.70055555555556,6.53626262626263,4.55215141594996e-175,88.8888888888889,6.32676152118984
-6.52651515151515,6.53626262626263,1.76802202874939e-167,96.969696969697,6.32676152118984
-6.35247474747475,6.53626262626263,3.8450758985365e-160,105.050505050505,6.32676152118984
-6.17843434343434,6.53626262626263,4.68239917260191e-153,113.131313131313,6.32676152118984
-6.00439393939394,6.53626262626263,3.192847857521e-146,121.212121212121,6.32676152118984
-5.83035353535354,6.53626262626263,1.21908584108902e-139,129.292929292929,6.32676152118984
-5.65631313131313,6.53626262626263,2.60637333503716e-133,137.373737373737,6.32676152118984
-5.48227272727273,6.53626262626263,3.12022019330782e-127,145.454545454545,6.32676152118984
-5.30823232323232,6.53626262626263,2.09160761573701e-121,153.535353535354,6.32676152118984
-5.13419191919192,6.53626262626263,7.85094763015002e-116,161.616161616162,6.32676152118984
-4.96015151515151,6.53626262626263,1.65011838815243e-110,169.69696969697,6.32676152118984
-4.78611111111111,6.53626262626263,1.94219549740796e-105,177.777777777778,6.32676152118984
-4.61207070707071,6.53626262626263,1.28092450896781e-100,185.858585858586,6.32676152118984
-4.4380303030303,6.53626262626263,4.75731897375817e-96,193.939393939394,6.32676152118984
-4.2639898989899,6.53626262626263,1.03513146598454e-91,202.020202020202,6.32676152118984
-4.08994949494949,6.53626262626263,1.71057142411675e-87,210.10101010101,6.32676152118984
-3.91590909090909,6.53626262626263,4.07087046238378e-83,218.181818181818,6.32676152118984
-3.74186868686869,6.53626262626263,1.16857677660236e-78,226.262626262626,6.32676152118984
-3.56782828282828,6.53626262626263,2.35892106632407e-74,234.343434343434,6.32676152118984
-3.39378787878788,6.53626262626263,2.93028309489553e-70,242.424242424242,6.32676152118984
-3.21974747474748,6.53626262626263,2.18563592792584e-66,250.50505050505,6.32676152118984
-3.04570707070707,6.53626262626263,9.63713169394456e-63,258.585858585859,6.32676152118984
-2.87166666666667,6.53626262626263,2.47654112252412e-59,266.666666666667,6.32676152118984
-2.69762626262626,6.53626262626263,3.6714099614391e-56,274.747474747475,6.32676152118984
-2.52358585858586,6.53626262626263,3.12537712390022e-53,282.828282828283,6.32676152118984
-2.34954545454545,6.53626262626263,1.53022175695496e-50,290.909090909091,6.32676152118984
-2.17550505050505,6.53626262626263,4.34527211549837e-48,298.989898989899,6.32676152118984
-2.00146464646465,6.53626262626263,7.26907467581788e-46,307.070707070707,6.32676152118984
-1.82742424242424,6.53626262626263,7.3511069210634e-44,315.151515151515,6.32676152118984
-1.65338383838384,6.53626262626263,4.7964980287247e-42,323.232323232323,6.32676152118984
-1.47934343434343,6.53626262626263,2.57347654971905e-40,331.313131313131,6.32676152118984
