"x","y","p","px","py"
-8.615,6.4,2.04343386349706e-171,0,0
-8.4409595959596,6.4,1.85334570113736e-163,8.0808080808081,0
-8.26691919191919,6.4,9.08223949914171e-156,16.1616161616162,0
-8.09287878787879,6.4,2.40475108410964e-148,24.2424242424242,0
-7.91883838383838,6.4,3.44023390640024e-141,32.3232323232323,0
-7.74479797979798,6.4,2.65917229839875e-134,40.4040404040404,0
-7.57075757575758,6.4,1.11056925732655e-127,48.4848484848485,0
-7.39671717171717,6.4,2.50602546437773e-121,56.5656565656566,0
-7.22267676767677,6.4,3.05538523254675e-115,64.6464646464646,0
-7.04863636363636,6.4,2.0127374803369e-109,72.7272727272727,0
-6.87459595959596,6.4,7.16389077434808e-104,80.8080808080808,0
-6.70055555555556,6.4,1.37768979194852e-98,88.8888888888889,0
-6.52651515151515,6.4,1.43151066645391e-93,96.969696969697,0
-6.35247474747475,6.4,8.03671188702258e-89,105.050505050505,0
-6.17843434343434,6.4,2.43782694710157e-84,113.131313131313,0
-6.00439393939394,6.4,3.99547125347071e-80,121.212121212121,0
-5.83035353535354,6.4,3.538130199581e-76,129.292929292929,0
-5.65631313131313,6.4,1.69285699979307e-72,137.373737373737,0
-5.48227272727273,6.4,4.3763031673635e-69,145.454545454545,0
-5.30823232323232,6.4,6.11272968634688e-66,153.535353535354,0
-5.13419191919192,6.4,4.61321463740487e-63,161.616161616162,0
-4.96015151515151,6.4,1.8811046333297e-60,169.69696969697,0
-4.78611111111111,6.4,4.14442672453669e-58,177.777777777778,0
-4.61207070707071,6.4,4.93369101582519e-56,185.858585858586,0
-4.4380303030303,6.4,3.17446454488123e-54,193.939393939394,0
-4.2639898989899,6.4,1.10734829654235e-52,202.020202020202,0
-4.08994949494949,6.4,2.15631162995097e-51,210.10101010101,0
-3.91590909090909,6.4,2.95637733973182e-50,218.181818181818,0
-3.74186868686869,6.4,5.7631694595697e-49,226.262626262626,0
-3.56782828282828,6.4,1.42745132163953e-47,234.343434343434,0
-3.39378787878788,6.4,1.42379622425353e-45,242.424242424242,0
-3.21974747474748,6.4,1.55018442320488e-42,250.50505050505,0
-3.04570707070707,6.4,1.06876288784755e-39,258.585858585859,0
-2.87166666666667,6.4,3.98583325040465e-37,266.666666666667,0
-2.69762626262626,6.4,8.03158046284092e-35,274.747474747475,0
-2.52358585858586,6.4,8.74427077519838e-33,282.828282828283,0
-2.34954545454545,6.4,5.14383280824589e-31,290.909090909091,0
-2.17550505050505,6.4,1.63489834353823e-29,298.989898989899,0
-2.00146464646465,6.4,2.80760059994924e-28,307.070707070707,0
-1.82742424242424,6.4,2.60507698663408e-27,315.151515151515,0
-1.65338383838384,6.4,1.30600987628122e-26,323.232323232323,0
-1.47934343434343,6.4,3.53763500856515e-26,331.313131313131,0
-1.30530303030303,6.4,5.17750167404598e-26,339.393939393939,0
-1.13126262626263,6.4,4.09419134600253e-26,347.474747474748,0
-0.957222222222222,6.4,1.74926935138636e-26,355.555555555556,0
